id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,capacity,cleaning,lighting,thermostat,installation,function_list,cooking_levels,device_display,microwave_power,programmability,total_functions,water_tank_capacity,features
6,SFA4390MX,ClassicCompact,60cm Classic Compact Microwave with grill oven,classic,597mmW x 456mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
1 x Baker plate","","Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3300W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4390mx,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,50 - 250ºC,Built-in,"grill
bakers_+_microwave
microwave
microwave_+_grill
defrost_by_time
defrost_by_weight
keep_warm",3,Large LCD,1000W,Delay start and automatic end cooking,7 incl. Defrost by weight/time,"","eclipse high visibility glass
ever clean enamel
microwave with grill
easy read display"
8,SFA4390VX1,ClassicCompact,60cm Classic Compact Steam oven,classic,597mmW x 456mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
2 x perforated stainless steel compact trays
1 x sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,2100W,10A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4390vx1,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 100ºC,Built-in,"steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
keep_warm",3,Large LCD,"",Fully programmable,"6 + 20 SmartSense auto menus 
incl. Defrost by weight/time",1.2L,"steam
eclipse high visibility glass
ever clean enamel
soft close door
smartsense - 20 auto menus"
7,SFA4390VX,ClassicCompact,60cm Classic Compact Steam oven,classic,597mmW x 456mmH x 571mmD,"
Fingerprint proof stainless steel 
Eclipse high visibility black glass","
2 x Chrome shelves
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","
Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,2100W,10A current",Two years parts and labour,Active,02/10/2018,02/11/2018,sfa4390vx,"","","",0.0,"
50L",Vapour Clean,1 x 40 Watt halogen,30 - 100ºC,Built-in,"",3,Large LCD,"","
Fully programmable","
5 + 20 SmartSense auto menus 
incl. Defrost by weight/time",1.2L,"steam
smartsense plus - 20 auto menus
eclipse high visibility glass
ever clean enamel
soft close door"
9,SFA4395MCX,ClassicCompact,60cm Classic Compact Speed oven,classic,597mmW x 456mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
1 x Chrome shelves
1 x Glass tray
1 x Partial telescopic guides","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4395mcx,"","","",0.0,50L,"Vapour Clean, drop down grill",2 x 40 Watt halogen,50 - 250ºC,Built-in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,TFT,1000W,Fully programmable,"18 + 50 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm","","eclipse high visibility glass
ever clean enamel
soft close door
speed
smartsense plus - 50 auto menus + 10 personal menus"
10,SFA4395VCX,ClassicCompact,60cm Classic Compact Combi-Steam oven,classic,597mmW x 456mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome insert
2 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Discontinued,02/10/2018,02/10/2018,sfa4395vcx,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"",3,TFT,"",Fully programmable,"16 + 20 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm",1.2L,"smartsense plus - 20 auto menus
eclipse high visibility glass
ever clean enamel
soft close door
combi-steam"
11,SFA4395VCX1,ClassicCompact,60cm Classic Compact Combi-Steam oven,classic,597mmW x 456mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome insert
1 x Chrome shelves
1 x 40mm enamelled baking tray
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray
1 x GT1P-2 - Partial telescopic guides
1 x Sponge","GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4395vcx1,"","","",0.0,50L,Vapour Clean,1 x 40 Watt halogen,30 - 250ºC,Built-in,"steam
fan_forced_+_steam
steam_+_static_+_fan
fan_forced
supercook
convection
fan_assisted
bakers_function
eco
fan_grill
defrost_by_time
defrost_by_weight
proving
reheat
vapour_clean
sabbath_mode",3,TFT,"",Fully programmable,"16 + 20 SmartSense Plus auto menus 
incl. Sabbath mode
 defrost
 proving and keep warm",1.2L,"smartsense plus - 20 auto menus
eclipse high visibility glass
ever clean enamel
soft close door
combi-steam"
12,SFPA4390X,ClassicCompact,60cm Classic Compact Pyrolytic oven,classic,597mmW x 456mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
1 x Chrome shelves
1 x 40mm enamelled baking tray
1 x Partial telescopic guides","PPR2 - Gourmet Cooking Stone
PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
SSDPLUS - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa4390x,"","","",0.0,50L,Pyrolytic / ECO Pyrolytic,1 x 40 Watt halogen,50 - 250ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,"",Fully programmable,"16 + 25 SmartSense auto menus
incl. Sabbath mode
 defrost
 proving and keep warm","","smartsense plus - 20 auto menus
eclipse high visibility glass
ever clean enamel
soft close door
pyrolytic"
