id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,noise,defrost,lighting,nb_drawers,nb_shelves,accessories,star_rating,nb_of_drawers,gross_capacity,energy_consumption,features
69,FAB10P,FabRefrigeration,50's Style Retro Refrigerator,,543mmW x 960mmH x 632mmD (680mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab10p,"","","",0.0,37 dBA,n/a,Incandescent,"","2 x Quick chill glass 
1 x Bottle shelf",n/a,2.5 Star,n/a,Refrigerator: 135L,203kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
71,FAB28ABR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28abr1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
72,FAB28ACSL,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28acsl,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
73,FAB28ACSR,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28acsr,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
281,FAB5RRDA,FabRefrigeration,50's Style Retro Refrigerator,,404mmW x 730mmH x 520mmD (560mm including handle),"Black
 Red
 Cream","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab5rrda,"","","",0.0,"",n/a,LED,n/a,2 x adjustable wire shelves,n/a,n/a,n/a,Refrigerator: 42L,"","iconic design
vibrant colours
perfect blend of art and functionality"
74,FAB28AOL1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28aol1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
75,FAB28AOR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28aor1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
76,FAB28APL1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28apl1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
77,FAB28APR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28apr1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
78,FAB28ARL1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28arl1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
79,FAB28ARR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28arr1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
80,FAB28ASL1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28asl1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
81,FAB28ASR1,FabRefrigeration,50's Style Retro Refrigerator,,600mmW x 1510mmH x 732mmD (includes handle),"Pastel Blue
 White
 Blue
 Black
 Cream
 Pink
 Red
 Silver
 Pastel green
 Lime green
 Decorated / Special","","","","220-240V, 50Hz,10A (3-pin plug)",2 years parts and labour,"",02/10/2018,02/10/2018,fab28asr1,"","","",0.0,39 dBA,n/a,LED,1 x Crisper drawer,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover",n/a,3.5 Star,n/a,"Refrigerator: 222L
Freezer: 26L
Total: 248L",246kWh/year,"iconic design
quick chill glass zones
vibrant colours
perfect blend of art and functionality"
