id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,capacity,cleaning,lighting,thermostat,installation,function_list,cooking_levels,device_display,microwave_power,programmability,total_functions,water_tank_capacity,features
636,SFA4920MCB,VictoriaCompact,60cm Victoria Compact Speed oven,victoria,597mmW x 452mmH x 571mmD,White enamel,"1 x chrome grill insert
1 x chrome shelf
1 x Glass tray","GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50 Hz,15A",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4920mcb,"","","",0.0,50L,"Smeg Ever Clean enamel, Vapour Clean",2 x 40W halogen,30 - 250ºC,Built in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,1000W,Fully programmable,18,"","ever clean enamel
soft close door
smartsense - 20 auto menus
speed
vapour clean"
637,SFA4920MCN,VictoriaCompact,60cm Victoria Compact Speed oven,victoria,597mmW x 452mmH x 571mmD,Black enamel,"1 x chrome grill insert
1 x chrome shelf
1 x Glass tray","GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50 Hz,15A",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4920mcn,"","","",0.0,50L,"Smeg Ever Clean enamel, Vapour Clean",2 x 40W halogen,30 - 250ºC,Built in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,1000W,Fully programmable,18,"","ever clean enamel
soft close door
smartsense - 20 auto menus
speed
vapour clean"
638,SFA4920MCP,VictoriaCompact,60cm Victoria Compact Speed oven,victoria,597mmW x 452mmH x 571mmD,Panna (cream) enamel,"1 x chrome grill insert
1 x chrome shelf
1 x Glass tray","GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50 Hz,15A",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4920mcp,"","","",0.0,50L,"Smeg Ever Clean enamel, Vapour Clean",2 x 40W halogen,30 - 250ºC,Built in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,1000W,Fully programmable,18,"","ever clean enamel
soft close door
smartsense - 20 auto menus
speed
vapour clean"
639,SFA4920MCX,VictoriaCompact,60cm Victoria Compact Speed oven,victoria,597mmW x 452mmH x 571mmD,Stainless steel,"1 x chrome grill insert
1 x chrome shelf
1 x Glass tray","GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock

controls lock","220-240V, 50 Hz,15A",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4920mcx,"","","",0.0,50L,"Smeg Ever Clean enamel, Vapour Clean",2 x 40W halogen,30 - 250ºC,Built in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
microwave
microwave_+_grill
microwave_+_fan_forced
microwave_+_static_+_fan
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,1000W,Fully programmable,18,"","ever clean enamel
soft close door
smartsense - 20 auto menus
speed
vapour clean"
640,SFA4920VCB,VictoriaCompact,60cm Victoria Compact Combi-Steam oven,victoria,597mmW x 450mmH x 548mmD,White enamel,"1 x chrome grill insert 
2 x chrome shelves
1 x 40mm enamelled baking tray 
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray 
1 x Sponge","GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50 Hz,15A",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4920vcb,"","","",0.0,50L,"Smeg Ever Clean enamel, Vapour Clean",1 x 40W halogen,30 - 250ºC,Built in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,"",Fully programmable,16,1.2 litres,"ever clean enamel
soft close door
smartsense - 20 auto menus
combi-steam
vapour clean"
641,SFA4920VCN,VictoriaCompact,60cm Victoria Compact Combi-Steam oven,victoria,597mmW x 450mmH x 548mmD,Black enamel,"1 x chrome grill insert 
2 x chrome shelves
1 x 40mm enamelled baking tray 
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray 
1 x Sponge","GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50 Hz,15A",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4920vcn,"","","",0.0,50L,"Smeg Ever Clean enamel, Vapour Clean",1 x 40W halogen,30 - 250ºC,Built in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,"",Fully programmable,16,1.2 litres,"ever clean enamel
soft close door
smartsense - 20 auto menus
combi-steam
vapour clean"
642,SFA4920VCP,VictoriaCompact,60cm Victoria Compact Combi-Steam oven,victoria,597mmW x 450mmH x 548mmD,Panna (cream) enamel,"1 x chrome grill insert 
2 x chrome shelves
1 x 40mm enamelled baking tray 
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray 
1 x Sponge","GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50 Hz,15A",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4920vcp,"","","",0.0,50L,"Smeg Ever Clean enamel, Vapour Clean",1 x 40W halogen,30 - 250ºC,Built in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,"",Fully programmable,16,1.2 litres,"ever clean enamel
soft close door
smartsense - 20 auto menus
combi-steam
vapour clean"
643,SFA4920VCX,VictoriaCompact,60cm Victoria Compact Combi-Steam oven,victoria,597mmW x 450mmH x 548mmD,Stainless steel,"1 x chrome grill insert 
2 x chrome shelves
1 x 40mm enamelled baking tray 
1 x 20mm stainless steel tray
1 x 40mm perforated stainless steel tray 
1 x Sponge","GT1P-1 - Partial telescopic guides
GT1T-1 - Total telescopic guides","Soft Close door
 thermal protection system
 child safety lock
 controls lock
 steam stop","220-240V, 50 Hz,15A",Two years parts and labour,Active,02/10/2018,02/10/2018,sfa4920vcx,"","","",0.0,50L,"Smeg Ever Clean enamel, Vapour Clean",1 x 40W halogen,30 - 250ºC,Built in,"bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
fan_forced_+_steam
steam
vapour_clean
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm",3,Large LCD,"",Fully programmable,16,1.2 litres,"ever clean enamel
soft close door
smartsense - 20 auto menus
combi-steam
vapour clean"
