id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,cutout,burners,capacity,installation,function_list,gas_connection,temperature_control,features
698,SA312XA-1,Domino,30cm 2 Zone Ceramic Cooktop,,290mmW x 45mmH x 510mmD,Ceramic glass,n/a,Domino stainless steel joining kit  - (LGPGF),"Residual heat indicators
Power on LED","220-240V, 50/60Hz,2900W ,16A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,sa312xa-1,"","","",0.0,490mmD x 270mmW,2,"Rear: 190mm diameter
 1700W
Front: 160mm diameter
 1200W",Topmount,,"","","residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge"
699,SA312XA-2,Domino,30cm 2 Zone Ceramic Cooktop,,290mmW x 45mmH x 510mmD,Ceramic glass,n/a,Domino stainless steel joining kit  - (LGPGF),"Residual heat indicators
Power on LED","220-240V, 50/60Hz,2900W ,16A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,sa312xa-2,"","","",0.0,490mmD x 270mmW,2,"Rear: 190mm diameter
 1700W
Front: 160mm diameter
 1200W",Topmount,,"","","residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
full heat in 7 seconds
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge
black ceramic, bevelled edge"
692,PGA32C,Domino,30cm Classic Domino Ceramic Cooktop,,310mmW x 70mmH x 512mmD,Stainless steel,n/a,Domino stainless steel joining kit  - (LGPGF),Residual heat indicators,"220-240V, 50/60Hz,3000W ,15A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,pga32c,"","","",0.0,292mmW x 494mmD,2,"Front: Ø140mm
 1200 watt
Rear: Ø180mm
 1800 watt",Topmount,,"",9 Heat settings per zone,"residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
2 high speed ceramic zones
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface"
696,PGF30T-1,Domino,30cm Classic Domino Teppanyaki Induction Cooktop,,310mmW x 70mmH x 512mmD,Stainless steel,n/a,Domino stainless steel joining kit  - (LGPGF),Residual heat indicators,"220-240V, 50/60Hz,3000W ,15A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,pgf30t-1,"","","",0.0,292mmW x 494mmD,2,"Front: 1400-1800W
Rear: 1400-1800W",Topmount,,"",9 Power levels + boost,"residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel
solid stainless steel"
693,PGA32G,Domino,30cm Classic Domino 2 Burner Gas Cooktop,,310mmW x 70mmH x 512mmD,Stainless steel,Removable cast-iron trivet,Domino stainless steel joining kit  - (LGPGF),Flame failure device,"220-240V, 50/60Hz,10A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,pga32g,"","","",0.0,292mmW x 494mmD,2,"Front:  3.9 mj/hr
Rear: 12 mj/hr",Topmount,,et for natural gas  regulator supplied,"","flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
2 burner
2 burner
2 burner
2 burner
2 burner
2 burner
2 burner
2 burner
2 burner
2 burner
2 burner
2 burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner
12mj/hr rapid burner"
694,PGF30B,Domino,30cm Classic Domino Electric Barbecue,,310mmW x 70mmH x 512mmD,Stainless steel,Cast-iron griddle,"Domino stainless steel joining kit  - (LGPGF)
Volcanic Rock - (Spare part #977450234)",Residual heat indicators,"220-240V, 50/60Hz,1800W ,10A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,pgf30b,"","","",0.0,292mmW x 494mmD,2,1800W,Topmount,,"",9 Power levels,"stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
9 heat settings per zone
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
indoor bbq/griddle
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning
tilting element for lava rock and easy cleaning"
695,PGF30F,Domino,30cm Classic Domino Deep Fryer,,310mmW x 208mmH x 512mmD,Stainless steel,n/a,Domino stainless steel joining kit  - (LGPGF),Residual heat indicators,"220-240V, 50/60Hz,2200W ,10A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,pgf30f,"","","",0.0,292mmW x 494mmD,2,3.6L Capacity,Topmount,,"",0-180ºC,"stainless steel
stainless steel
stainless steel
stainless steel
stainless steel
stainless steel
stainless steel
stainless steel
stainless steel
stainless steel
stainless steel
stainless steel
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
3.6l capacity
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
0-180°c electronic thermostat
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning
removable tank for easy cleaning"
697,PGF32I-1,Domino,30cm Classic Domino Induction Cooktop,,310mmW x 70mmH x 512mmD,Stainless steel,n/a,Domino stainless steel joining kit  - (LGPGF),Residual heat indicators,"220-240V, 50/60Hz,3600W ,15A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,pgf32i-1,"","","",0.0,292mmW x 494mmD,2,"front: Ø140/100mm
 1400W | 2500W boost
rear: Ø180/100mm
 1850W | 2500W boost",Topmount,,"",9 Power levels + boost,"residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
residual heat indicators
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
stainless steel with black ceramic surface
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
2 zones
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost
9 heat settings per zone + boost"
691,PGA31G-1,Domino,30cm Classic Domino Dual Control Wok Gas Cooktop,,310mmW x 70mmH x 512mmD,Stainless steel,Removable cast-iron trivet,Domino stainless steel joining kit  - (LGPGF),Flame failure device,"220-240V, 50/60Hz,10A Connection",Two years parts and labour,"",15/11/2018,16/11/2018,pga31g-1,"","","",0.0,292mmW x 494mmD,1,"dual-control wok burner
inner ring: 3.6 mj/hr
outer ring: 15 mj/hr",Topmount,,et for natural gas  regulator supplied,"","flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
flame failure device
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
18.6mj/hr triple wok burner
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
independent inner/outer burner control
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
stainless steel, cast iron trivet
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design
classic design"
